,pos_amount_max_1mb,pos_amount_max_2mb,pos_amount_max_3mb,pos_amount_min_1mb,pos_amount_min_2mb,pos_amount_min_3mb,pos_amount_avg_1mb,pos_amount_avg_2mb,pos_amount_avg_3mb,pos_count_1mb,pos_count_2mb,pos_count_3mb,neg_amount_avg_1mb,neg_amount_avg_2mb,neg_amount_avg_3mb,neg_amount_max_1mb,neg_amount_max_2mb,neg_amount_max_3mb,neg_amount_min_1mb,neg_amount_min_2mb,neg_amount_min_3mb,neg_count_1mb,neg_count_2mb,neg_count_3mb,balance_avg_1mb,balance_avg_2mb,balance_avg_3mb,balance_min_1mb,balance_min_2mb,balance_min_3mb,balance_max_1mb,balance_max_2mb,balance_max_3mb,age,gender,A4,A5,A6,A7,A11,A13,A14,A16,has_card,permonth,amount,ndisp,class
0,26781.0,155.4,45396.0,126.9,155.4,169.7,9135.966666666667,155.4,19169.783333333333,3.0,1.0,6.0,-1207.3,-4211.46,-14633.933333333334,-14.6,-14.6,-14.6,-2400.0,-15300.0,-58900.0,2.0,10.0,6.0,30758.367857142868,37196.63548387097,42364.01612903226,20808.9,22568.1,22812.0,47716.8,64682.7,123413.0,26.134246575342466,1,323870,0,0,0,10673,5.44,100,18347,1,2154.0,51696.0,1,0
4,41445.0,41445.0,62168.0,299.9,291.7,270.1,20872.45,20868.35,31219.05,2.0,2.0,2.0,-7023.177777777778,-6430.266666666666,-4484.371428571429,-14.6,-14.6,-14.6,-20900.0,-23100.0,-9716.0,9.0,6.0,7.0,67674.18064516132,65467.774193548415,66040.72333333336,48649.8,43294.6,25847.1,90094.8,84739.6,88015.1,22.586301369863012,0,110643,49,41,4,8441,4.48,115,2252,1,6908.0,82896.0,2,0
42,40840.0,40840.0,40840.0,342.4,295.8,147.8,20591.2,20567.9,20493.9,2.0,2.0,2.0,-10704.866666666667,-4771.533333333334,-6371.533333333333,-14.6,-14.6,-14.6,-25400.0,-7200.0,-14100.0,3.0,3.0,3.0,78790.88000000002,70306.83870967745,48392.76428571427,46734.8,38213.6,22155.0,87574.8,79053.6,64280.4,18.295890410958904,1,75637,35,36,9,9622,0.59,154,3529,1,6695.0,80340.0,2,0
45,24368.0,24368.0,24368.0,188.5,205.6,205.5,12278.25,12286.8,12286.75,2.0,2.0,2.0,-4459.15,-6336.099999999999,-5909.15,-14.6,-14.6,-14.6,-6400.0,-10600.0,-11800.0,4.0,6.0,4.0,44775.433333333334,48751.86451612902,48999.94516129032,27857.0,33165.9,34063.0,52225.0,60867.9,58431.0,29.30958904109589,1,93931,74,21,10,8427,1.54,107,1913,1,7094.0,170256.0,1,0
49,25970.0,139.2,29993.0,141.9,139.2,55.7,13055.95,139.2,12582.9,2.0,1.0,3.0,-2404.866666666667,-4171.533333333334,-1757.3,-14.6,-14.6,-14.6,-3600.0,-8200.0,-3500.0,3.0,3.0,2.0,31437.779999999988,32878.26451612901,16980.603333333325,27105.2,30580.7,8846.6,53075.2,43080.7,43080.7,42.99452054794521,0,387570,0,0,0,9897,1.96,140,18696,1,4336.0,208128.0,1,1
50,42244.0,42244.0,63366.0,182.8,208.3,254.8,21213.4,21226.15,31810.4,2.0,2.0,2.0,-8697.0,-15282.25,-31150.0,-30.0,-30.0,-30000.0,-28500.0,-36700.0,-32300.0,5.0,4.0,2.0,43808.996774193554,55294.51935483868,62251.86000000002,40960.1,42201.1,59527.1,83659.1,66391.9,122893.1,15.008219178082191,0,1204953,0,0,0,12541,0.43,167,99107,1,4579.0,274740.0,1,0
54,37435.0,56152.0,37435.0,161.9,206.3,236.0,18798.45,28179.15,18835.5,2.0,2.0,2.0,-7638.2,-9854.28888888889,-10771.533333333333,-14.6,-14.6,-14.6,-15300.0,-23700.0,-27300.0,3.0,9.0,3.0,37402.72258064515,46758.78999999997,63904.819354838706,15574.1,22982.4,50148.0,53009.1,91678.4,87583.0,18.265753424657536,0,51313,34,12,3,8930,4.2,108,1452,1,6239.0,224604.0,2,0
58,27014.0,40521.0,27014.0,109.6,146.7,162.4,13561.8,20333.85,13588.2,2.0,2.0,2.0,-5458.266666666666,-7681.099999999999,-4837.32,-14.6,-14.6,-14.6,-11663.0,-26100.0,-14100.0,6.0,6.0,5.0,25400.09677419355,34821.31666666668,38127.54838709676,9673.5,27855.4,23665.7,36687.5,68376.4,50679.7,28.334246575342465,0,117897,139,28,5,8814,5.74,107,2059,1,4502.0,54024.0,1,0
88,21783.0,44206.0,45261.0,300.8,379.4,270.5,11041.9,25167.68,27037.125,2.0,5.0,4.0,-9178.65,-20335.766666666666,-14441.920000000002,-14.6,-14.6,-14.6,-29200.0,-46400.0,-43200.0,4.0,6.0,5.0,77164.83548387096,91744.7366666666,68640.79032258065,54582.8,65690.5,35751.6,91282.8,115534.9,108620.0,20.284931506849315,0,102609,75,33,2,8187,5.45,94,2134,1,2820.0,135360.0,1,0
89,38840.0,144.3,44473.0,84.4,115.8,73.9,8371.539999999999,133.93333333333334,11239.560000000001,5.0,3.0,5.0,-1107.3,-7878.12,-7841.9,-14.6,-14.6,-14.6,-2200.0,-18076.0,-18053.0,2.0,5.0,4.0,29005.767741935488,34967.373333333315,30908.180645161305,17001.8,18814.6,12807.4,58844.8,58190.6,58190.6,34.90684931506849,1,94812,15,13,8,9650,3.67,100,2804,1,2172.0,52128.0,1,0
96,36191.0,36191.0,36191.0,226.2,201.8,213.0,18208.6,18196.4,18202.0,2.0,2.0,2.0,-7387.65,-8050.12,-7016.719999999999,-14.6,-14.6,-14.6,-15300.0,-16300.0,-16100.0,4.0,5.0,5.0,55537.71999999997,49631.280645161314,50786.27333333331,35427.3,35225.6,32450.2,71603.7,75461.6,68641.2,21.424657534246574,0,226122,32,50,7,8994,4.79,110,9208,1,6032.0,217152.0,1,0
102,19608.0,19608.0,19608.0,143.1,140.7,142.0,9875.55,9874.35,9875.0,2.0,2.0,2.0,-2881.2,-2421.371428571428,-3358.2666666666664,-14.6,-14.6,-14.6,-14000.0,-9700.0,-13300.0,8.0,7.0,6.0,34425.39677419356,33879.80333333335,34222.638709677434,23509.9,22510.8,23310.4,43117.9,42118.8,42918.4,44.8054794520548,0,72541,66,26,10,8594,2.01,112,1525,1,501.0,30060.0,1,0
109,29255.0,29255.0,29255.0,208.3,181.6,138.5,14731.65,14718.3,14696.75,2.0,2.0,2.0,-24000.0,-22400.0,-16700.0,-24000.0,-22400.0,-16700.0,-24000.0,-22400.0,-16700.0,1.0,1.0,1.0,55772.40322580643,49521.15333333335,39875.53548387097,47730.2,40693.6,28000.1,76985.2,69948.6,57255.1,58.12876712328767,0,177686,69,27,10,10045,1.71,135,6295,1,4876.0,117024.0,1,0
110,49060.0,38931.0,39929.0,194.8,327.8,177.5,24851.1,15703.975,19527.72,5.0,4.0,5.0,-17177.600000000002,-16993.120000000003,-5138.8,-14.6,-14.6,-14.6,-48400.0,-42500.0,-12300.0,6.0,5.0,12.0,86728.44838709677,93559.31428571428,46882.24193548387,52561.3,63142.0,21438.0,126285.3,115493.0,108977.5,23.7013698630137,0,197099,29,41,10,9624,2.31,145,4265,1,1971.0,47304.0,1,0
114,40072.0,40072.0,40072.0,245.1,271.5,270.7,20158.55,20171.75,20171.35,2.0,2.0,2.0,-10496.933333333332,-6473.32,-9061.15,-14.6,-14.6,-14.6,-19985.0,-10100.0,-20530.0,6.0,5.0,4.0,57370.710000000036,64572.564516129,63850.09655172417,37446.1,33264.2,39766.1,89013.1,73336.2,79838.1,25.53972602739726,1,145688,22,41,13,8544,1.86,109,2906,1,6679.0,320592.0,2,0
119,22184.0,22184.0,33276.0,191.0,195.8,162.1,7658.333333333333,11189.9,16719.05,3.0,2.0,2.0,-3799.9,-4679.92,-4553.266666666666,-14.6,-14.6,-14.6,-6800.0,-9400.0,-10500.0,4.0,5.0,6.0,45844.57142857141,41523.11935483871,38530.24193548387,34732.7,30152.5,21214.0,57516.7,44137.5,54490.0,14.315068493150685,0,107870,84,29,6,8754,4.31,137,3868,1,5526.0,331560.0,2,0
130,163.0,49603.0,189.9,88.3,221.0,137.2,125.65,15048.95,163.55,2.0,4.0,2.0,-3624.9199999999996,-8584.92,-4537.433333333333,-14.6,-14.6,-14.6,-9493.0,-25300.0,-9493.0,5.0,5.0,6.0,39213.94666666667,55738.88387096772,46225.320000000014,33157.4,24503.2,37983.6,51061.0,76128.2,95415.4,14.2,1,1204953,0,0,0,12541,0.43,167,99107,1,3298.0,39576.0,1,0
140,7900.0,97.2,15662.0,35.3,97.2,147.0,3967.65,97.2,7304.75,2.0,1.0,4.0,-6204.866666666666,-8642.4,-1207.3,-14.6,-14.6,-14.6,-14100.0,-19555.0,-2400.0,3.0,4.0,2.0,10313.893548387097,20988.153333333346,35425.20645161289,2810.0,13427.4,21178.1,21410.0,47982.4,47982.4,22.824657534246576,0,161227,5,35,11,8678,5.57,102,4595,1,3703.0,177744.0,1,1
144,40928.0,168.0,45901.0,106.9,168.0,207.5,14978.300000000001,168.0,23054.25,3.0,1.0,2.0,-6743.8,-7958.228571428571,-3800.933333333333,-14.6,-14.6,-14.6,-21422.0,-22002.0,-9210.0,7.0,7.0,6.0,25611.513333333318,45040.74516129035,51946.496666666666,20141.1,22505.1,31950.9,60833.1,78044.8,78044.8,53.1972602739726,0,139012,59,41,8,8363,3.49,108,2799,1,2791.0,133968.0,2,0
153,17800.0,16500.0,18000.0,72.6,76.8,67.5,8936.3,8288.4,9033.75,2.0,2.0,2.0,-3147.0,-2996.4,-3163.6666666666665,-100.0,-100.0,-100.0,-7732.0,-7732.0,-7732.0,6.0,5.0,6.0,17101.986666666668,18319.0806451613,16218.279999999993,5466.5,7771.7,4686.3,24248.5,24271.7,23568.3,32.18082191780822,0,119895,17,4,3,10446,9.4,90,4743,1,5142.0,123408.0,1,0
154,45087.0,46981.0,291.4,318.3,311.4,291.4,28495.433333333334,17860.133333333335,291.4,3.0,3.0,1.0,-14266.0,-7410.0,-25800.0,-30.0,-30.0,-25800.0,-47100.0,-12600.0,-25800.0,5.0,3.0,1.0,75255.88709677417,62281.24666666669,57606.92903225803,44704.2,38260.8,44281.4,112104.2,85241.8,70081.4,32.701369863013696,0,285387,0,2,8,10177,7.75,81,10108,1,3745.0,89880.0,1,0
158,31537.0,361.8,361.8,331.9,361.8,361.8,11789.633333333333,361.8,361.8,3.0,1.0,1.0,-100.0,-3100.0,-2300.0,-100.0,-3100.0,-2300.0,-100.0,-3100.0,-2300.0,1.0,1.0,1.0,38975.19666666666,29219.570967741947,31561.589999999986,27869.7,27507.9,30246.2,63238.6,30607.9,32546.2,26.167123287671235,0,157042,49,70,18,8743,2.43,111,3894,1,6960.0,417600.0,1,0
160,11142.0,11142.0,16713.0,156.1,163.1,119.8,3819.766666666667,3822.7333333333336,5661.0,3.0,3.0,3.0,-2279.4,-3104.4,-2754.4,-14.6,-14.6,-14.6,-4403.0,-6900.0,-4900.0,4.0,4.0,4.0,39159.63870967742,39451.26129032258,36440.213333333326,32622.1,33571.5,25906.1,43764.1,44713.5,42619.1,39.8986301369863,1,88884,80,26,6,8507,1.85,132,2674,1,1431.0,85860.0,1,0
166,41237.0,46813.0,46206.0,303.7,249.5,221.0,21050.425,27697.5,18242.666666666668,4.0,3.0,3.0,-6838.883333333334,-7266.657142857142,-7316.65,-14.6,-14.6,-14.6,-26100.0,-26500.0,-26200.0,12.0,7.0,4.0,74682.57419354837,59972.73225806448,53656.60999999998,29207.7,49127.7,30688.4,91742.7,95940.7,58995.4,18.54794520547945,1,85852,41,23,4,8965,8.23,104,2822,1,2567.0,123216.0,2,0
168,22789.0,34184.0,22789.0,228.1,227.4,229.5,11508.55,17205.7,11509.25,2.0,2.0,2.0,-3078.65,-9311.72,-3804.866666666667,-14.6,-14.6,-14.6,-6100.0,-26700.0,-8200.0,4.0,5.0,3.0,54434.76774193551,48399.060000000005,57023.17741935484,40387.3,31734.5,38830.5,63176.3,65918.5,61619.5,53.73698630136986,0,105058,32,19,7,9272,3.22,118,4505,1,3798.0,91152.0,1,0
172,47986.0,48569.0,48620.0,234.9,179.4,176.7,16260.65,17077.675,15745.849999999999,4.0,4.0,4.0,-16045.5,-6252.090909090909,-9934.25,-30.0,-30.0,-30.0,-57900.0,-26700.0,-20800.0,6.0,11.0,4.0,57009.77586206899,52987.874193548385,59805.787096774206,43832.1,24694.4,38591.1,82175.1,88691.4,101096.1,16.736986301369864,0,1204953,0,0,0,12541,0.43,167,99107,1,5161.0,247728.0,1,0
179,23038.0,23038.0,23038.0,186.0,174.6,173.9,11612.0,11606.3,11605.95,2.0,2.0,2.0,-5165.4,-4103.599999999999,-4448.32,-14.6,-14.6,-14.6,-10800.0,-12400.0,-7847.0,4.0,6.0,5.0,43674.32580645159,41860.03333333331,41232.63548387097,30723.7,29932.7,26482.4,53761.7,51530.7,49520.4,35.964383561643835,0,323870,0,0,0,10673,5.44,100,18347,1,2490.0,59760.0,2,0
183,35312.0,35312.0,52968.0,190.7,315.5,287.2,17751.35,17813.75,26627.6,2.0,2.0,2.0,-7327.327272727273,-5584.942857142857,-4256.371428571429,-14.6,-14.6,-14.6,-16711.0,-24500.0,-12400.0,11.0,7.0,7.0,44823.922580645165,72564.37096774197,68526.28666666667,30363.5,50202.6,31142.0,75337.5,85514.6,84110.0,32.07397260273972,0,102609,75,33,2,8187,5.45,94,2134,1,5885.0,141240.0,1,0
190,18942.0,28413.0,18942.0,85.7,90.1,119.4,6374.3,9531.366666666667,6401.933333333334,3.0,3.0,3.0,-1508.52,-7517.099999999999,-3627.1,-14.6,-14.6,-14.6,-3500.0,-24960.0,-9200.0,5.0,6.0,6.0,24028.87096774193,22913.24666666668,35455.84838709676,12971.7,12805.3,29231.1,31913.7,55276.3,48362.1,40.68767123287671,0,162580,83,26,5,9538,1.81,111,5410,1,3155.0,189300.0,1,0
191,49412.0,26063.0,32308.0,253.1,108.4,223.2,26529.620000000003,10690.466666666667,16265.6,5.0,3.0,2.0,-15389.371428571429,-7340.15,-8743.766666666666,-14.6,-14.6,-14.6,-54100.0,-19797.0,-21171.0,7.0,4.0,6.0,62748.20322580645,26878.63999999998,52733.76774193551,24029.6,18021.2,21095.6,92581.0,47367.2,68343.6,34.23835616438356,0,58796,22,16,7,9045,3.6,124,1879,1,3698.0,44376.0,1,0
203,18491.0,18491.0,18491.0,176.8,169.8,156.9,9333.9,9330.4,9323.95,2.0,2.0,2.0,-9057.3,-16300.0,-15200.0,-14.6,-16300.0,-15200.0,-18100.0,-16300.0,-15200.0,2.0,1.0,1.0,45616.326666666646,44443.81290322583,41911.622580645155,42372.2,40011.3,36563.4,60863.2,58502.3,55054.4,40.868493150684934,0,125236,28,11,1,9675,7.68,100,5190,1,607.0,21852.0,1,0
